Ion,EMU,Time(min),0,0.08333334,0.49999998,1.00000002,1.99999998,4.00000002,7.99999998,12,19.99999998,30
FUM,FUM_1234,M0,308,385,361,388,354,434,383,314,324,266
,,M1,20,15,18,23,44,91,161,148,243,202
,,M2,12,23,11,18,14,64,112,123,198,182
,,M3,0,0,0,3,4,11,50,59,107,91
,,M4,0,0,0,0,0,0,9,23,33,29
,,M0,352,256,136,263,231,226,224,214,207,146
,,M1,16,17,10,22,25,52,57,99,84,104
,,M2,0,0,0,0,4,22,49,67,95,94
,,M3,0,0,0,0,0,0,16,34,59,68
,,M4,0,0,0,0,0,0,20,21,12,32
CIT,CIT_123456,M0,1101,1254,714,1292,974,1096,937,1142,801,1042
,,M1,83,105,100,366,472,842,814,712,669,703
,,M2,0,60,40,63,198,438,739,853,739,737
,,M3,0,11,5,9,38,166,454,500,496,604
,,M4,0,0,0,0,0,21,232,286,263,289
,,M5,0,0,0,0,9,22,55,85,89,124
,,M6,0,0,0,0,8,16,16,26,26,41
,,M0,371,470,232,432,346,383,317,394,268,250
,,M1,23,42,38,135,177,197,199,240,86,87
,,M2,0,14,20,39,74,109,145,271,134,99
,,M3,0,0,0,0,28,64,64,158,99,93
,,M4,0,0,0,0,0,34,76,106,38,59
,,M5,0,0,0,0,0,6,17,41,36,37
,,M6,0,0,0,0,0,35,27,27,21,33
