Metabolite,Concentration,
3PGA,1.247475953,0.032326182
6PGC,0.143435706,0.216283157
ACA,0.006134569,0.333237813
ADPGLC,0.164438342,0.02734
AKG,1.725930121,0.023856851
CIT,6.661544243,0.100925817
DHAP,0.580355727,0.032238601
E4P,0.148139011,0.141208815
F6P,0.245430907,0.056409573
FBP,0.195125782,0.088402308
G1P,0.299167942,0.026192464
G6P,0.61309416,0.100183635
GLN,0.003813775,0.45572114
GLU,4.175442359,0.009542061
MAL,0.368300677,0.021461499
PEP,0.09380175,0.0007771
PYR,0.069985494,0.80136943
R5P,1.159736444,0.375926343
RUBP,0.439341588,0.190407245
S7P,0.101141,0.062738364
SUCC,0.752341851,0.000543982
X5P,0.789200843,0.993891067
